2026-01-17 00:08:41.457 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:08:41.457 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `gender_male` of `discrete`, using default 'onehot' scaler info.
2026-01-17 00:08:41.457 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:08:41.457 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:08:41.457 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-17 00:08:41.457 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-17 00:08:41.458 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-17 00:08:41.461 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-17 00:08:41.461 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-17 00:08:41.464 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:08:41.464 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-17 00:08:41.465 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-17 00:08:41.466 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-17 00:08:41.467 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-17 00:08:41.468 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-17 00:08:41.468 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-17 00:08:41.468 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-17 00:08:41.469 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-17 00:08:41.469 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-17 00:08:41.469 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-17 00:08:41.469 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-17 00:08:41.552 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-17 00:08:41.552 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-17 00:08:41.553 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-17 00:08:41.554 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-17 00:08:42.277 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-17 00:08:42.277 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-17 00:08:42.278 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:550 - Loading scalers for timeseries
2026-01-17 00:08:42.278 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:574 - Loading column names for timeseries
2026-01-17 00:08:42.278 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `timeseries` with scalers: {'average_hrv': [{'scaler': StandardScaler()}], 'lowest_heart_rate': [{'scaler': StandardScaler()}], 'age_cva_diff': [{'scaler': StandardScaler()}]}
2026-01-17 00:08:42.279 | INFO     | services.demo_synthesis_service:generate:456 - Scaled timeseries for forecast, shape: (1, 3, 192)
2026-01-17 00:08:42.279 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 20 sample(s)...
2026-01-17 00:08:42.279 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(20, 192, 10), discrete=(20, 192, 2)
2026-01-17 00:08:47.291 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-17 00:08:47.297 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 30770
2026-01-17 00:08:47.297 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-17 00:08:47.297 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: forecast
2026-01-17 00:08:47.303 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-17 00:09:06.102 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-17 00:09:06.102 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-17 00:09:06.102 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-17 00:09:06.103 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-17 00:09:06.103 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-17 00:09:06.103 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:769 - Continuous columns: 10
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:770 - Discrete columns: 1
2026-01-17 00:09:06.103 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-17 00:09:06.104 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `awake_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `age` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `low_activity_time` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `deep_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `sleep_duration` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `restored_duration` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `non_wear_time` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `rem_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `steps` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `active_calories` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:06.104 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:09:06.104 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `gender_male` of `discrete`, using default 'onehot' scaler info.
2026-01-17 00:09:06.105 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:09:06.105 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:09:06.105 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-17 00:09:06.105 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-17 00:09:06.106 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-17 00:09:06.109 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-17 00:09:06.109 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-17 00:09:06.112 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:09:06.112 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:09:06.113 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-17 00:09:06.113 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-17 00:09:06.114 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-17 00:09:06.115 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-17 00:09:06.116 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-17 00:09:06.116 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-17 00:09:06.116 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-17 00:09:06.117 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-17 00:09:06.118 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-17 00:09:06.118 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-17 00:09:06.118 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-17 00:09:06.195 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-17 00:09:06.196 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-17 00:09:06.197 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-17 00:09:06.903 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-17 00:09:06.903 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-17 00:09:06.904 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:550 - Loading scalers for timeseries
2026-01-17 00:09:06.904 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:574 - Loading column names for timeseries
2026-01-17 00:09:06.905 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `timeseries` with scalers: {'average_hrv': [{'scaler': StandardScaler()}], 'lowest_heart_rate': [{'scaler': StandardScaler()}], 'age_cva_diff': [{'scaler': StandardScaler()}]}
2026-01-17 00:09:06.905 | INFO     | services.demo_synthesis_service:generate:456 - Scaled timeseries for forecast, shape: (1, 3, 192)
2026-01-17 00:09:06.905 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 20 sample(s)...
2026-01-17 00:09:06.905 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(20, 192, 10), discrete=(20, 192, 2)
2026-01-17 00:09:12.050 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-17 00:09:12.056 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 55529
2026-01-17 00:09:12.056 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-17 00:09:12.056 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: forecast
2026-01-17 00:09:12.062 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-17 00:09:43.236 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-17 00:09:43.237 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-17 00:09:43.237 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-17 00:09:43.237 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-17 00:09:43.237 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-17 00:09:43.238 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:769 - Continuous columns: 10
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:770 - Discrete columns: 1
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-17 00:09:43.238 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-17 00:09:43.238 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `awake_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.238 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `age` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.238 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `low_activity_time` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.238 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `deep_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `sleep_duration` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `restored_duration` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `non_wear_time` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `rem_mins` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `steps` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `active_calories` of `continuous`, using default 'standard' scaler info.
2026-01-17 00:09:43.239 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:09:43.239 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `gender_male` of `discrete`, using default 'onehot' scaler info.
2026-01-17 00:09:43.239 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:09:43.239 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:09:43.239 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-17 00:09:43.239 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-17 00:09:43.240 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-17 00:09:43.243 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-17 00:09:43.243 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-17 00:09:43.246 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-17 00:09:43.246 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-17 00:09:43.246 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-17 00:09:43.247 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-17 00:09:43.247 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-17 00:09:43.247 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-17 00:09:43.247 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-17 00:09:43.247 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-17 00:09:43.248 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-17 00:09:43.248 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-17 00:09:43.250 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-17 00:09:43.251 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-17 00:09:43.251 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-17 00:09:43.251 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-17 00:09:43.252 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-17 00:09:43.252 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-17 00:09:43.252 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-17 00:09:43.252 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-17 00:09:43.332 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-17 00:09:43.333 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-17 00:09:43.334 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-17 00:09:44.033 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-17 00:09:44.033 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-17 00:09:44.034 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:550 - Loading scalers for timeseries
